chirp_mass,mass_ratio,luminosity_distance,phase,theta_jn,dec,psi,phi
-1.1172318,0.448782,1.0425856,0.6362111,-0.14582255,0.3488549,-1.7597872,0.61013204
1.0484278,0.21731362,0.8070925,0.10910097,0.30452585,0.93015856,1.3609682,1.924718
0.37851784,1.4613405,0.81527686,-0.122008085,0.15721184,2.9907298,0.5610762,-1.0480151
-1.1318096,0.6934356,0.32954222,-0.32845688,0.21308844,1.8912187,-1.1273454,-1.2491211
-1.0382084,0.53684723,0.74538773,-0.37846917,0.4644957,0.08466601,-1.2914137,0.7287531
-1.5126731,-0.23402376,0.94046557,0.8167287,0.0031747485,0.87608564,-0.6271876,0.78425795
1.6185774,0.08656813,-0.32257026,-0.009161031,-0.013494678,2.8420439,0.9058965,-1.5335153
0.79313254,-0.14345899,0.40415058,-0.80636287,-0.055887356,0.4997568,0.56010795,0.7485535
-0.76969254,-1.1866012,0.9929037,1.5075707,-0.1430915,0.95621216,0.6217451,-0.2431598
0.13010411,0.22046442,1.2537801,-0.49339744,-0.052237332,1.8759586,1.484765,0.42887744
-1.7105689,-0.2690923,0.06334559,-1.1552383,0.24024658,3.3914704,-0.1056807,-1.6318506
-0.87175214,0.47830388,-0.38067207,-0.32423702,0.12407206,0.22071707,2.5552444,0.20067893
0.57129306,-1.485857,0.5446077,0.09686014,-0.45302334,0.8262382,-0.67927176,0.5021325
-0.8804965,-1.4239012,0.6733814,-0.49514866,-0.13169928,0.8183599,-0.7640722,1.4337835
-1.1743596,-0.66622096,0.894947,1.4853636,0.2726778,0.66785324,-0.22278506,0.19651191
-2.07032,1.429831,1.3158559,-0.59130555,-0.061688423,1.9343398,-0.30718186,0.88013697
-1.713011,-0.24177447,0.8156853,-1.145616,0.5598116,0.4630375,-0.46511,0.5757243
-1.1476413,0.66420174,1.0253875,0.68386483,-0.15348113,1.1484857,0.8713755,1.7090788
0.35265523,-1.351072,0.6949652,1.3972021,0.19306523,3.1590428,-2.517505,-1.1503096
-0.13823822,0.14966926,0.77027494,1.061575,-0.038428094,1.7373581,1.9548686,1.2691753
-0.6589668,0.8016578,1.132842,0.6814255,-0.11519953,1.3333066,2.0881894,-0.37734383
0.14639518,-1.0963491,1.1788101,-1.512875,-0.45096993,1.2296337,-0.31624582,-0.13424218
-1.6604284,-1.4693848,0.49534222,-0.5143071,0.19128126,0.08682358,0.1781877,0.40222573
0.8708233,-1.4077293,1.2997161,-0.06744692,0.24823686,1.1309633,0.7876929,0.88925004
-1.5887424,-1.6124576,0.9170995,0.9884847,-0.17556302,1.4212624,1.522227,1.5662391
-0.7053875,-1.4928035,1.1281434,-0.22463703,-0.24665031,1.1419122,0.046571117,-0.22249007
0.6780461,0.92725456,0.9063938,-0.57310206,-0.12121225,0.72191656,1.0156454,0.648852
0.56674355,-1.3874176,1.0344224,-0.62996674,0.26862457,0.57354474,-1.2285296,0.19951954
-1.7344756,-0.49945274,0.9346257,0.06719286,0.41212103,2.1863744,0.66604084,1.4848841
0.8787852,-1.1233535,0.3913608,1.8966863,0.19727768,1.1378574,-1.7427965,1.6298248
-0.093199596,0.30788073,1.2706709,-0.89574414,0.400612,0.34486508,-1.5574739,1.2074378
-0.93543786,0.97721463,1.1600264,-0.07761143,0.30794302,0.052450895,0.035638504,0.8756598
0.8878738,-1.2091619,1.0921654,1.4184963,-0.5537827,0.25290525,-0.027928263,0.5925544
0.7041305,1.3300062,0.8994315,0.08338779,0.14169331,2.8410964,1.1450464,-1.2388805
1.2618173,-0.95360994,0.7037648,-1.1179553,-0.23974997,2.6716237,0.7150536,-1.7141979
-1.0045972,-0.49732712,0.7617238,0.47029588,-0.047895916,1.0472565,-1.1143281,-0.01693679
0.72341454,0.60019445,0.8893043,-1.0522567,0.12503162,0.7591189,-0.07262328,1.4141814
-1.3207939,-0.9635641,1.0410349,2.2663715,0.390325,0.78818434,-0.98051995,1.4753199
1.2099293,1.2064935,1.3337446,0.43430895,0.015549804,0.4973092,0.26325044,1.3967533
0.25187904,-0.4330494,1.194024,-1.1113336,0.16544959,1.3194231,0.31180778,0.031251885
1.4843304,-0.6662463,0.8233253,-0.830577,0.0634399,2.3690758,0.9247704,-0.08567785
0.69322795,1.2876062,1.0239133,-0.020670537,0.048831988,2.0727844,2.4655051,-0.89959353
-1.5787411,1.1947201,0.05540777,-1.3236378,-0.12024257,0.08237767,-0.9643895,0.51429695
-0.20350718,-1.1810185,1.2706944,-2.3102446,-0.5293281,0.30658722,-2.0511196,0.40687737
-0.52670854,0.29061314,-1.4501426,0.14975289,0.03910382,3.147997,2.7226162,-1.2684741
-0.57694113,0.88020974,-0.5719507,-0.55390257,-0.098805286,1.5847325,-1.3562298,-1.661282
-1.1005719,0.17204008,0.8987103,-0.5044147,0.101860896,1.4483882,0.4864783,-0.067079656
1.5628898,-0.9968892,0.76676303,-0.6229195,-0.27936766,2.2356,-0.24205872,-0.58280975
0.5429081,-0.5571322,1.2421303,-0.42739967,0.280574,1.099627,-0.041913528,1.5028728
-1.4303188,1.4380969,0.94477016,-0.8348658,-0.229922,0.36070585,-0.068562284,1.5457824
-0.47013354,-1.6812737,0.64796346,-1.3029754,-0.17626008,1.2923539,-0.12755488,1.1746856
-1.7434855,1.2683897,0.032316044,-1.9791996,0.14591697,1.4728348,-0.46479642,1.532622
-0.7720053,-1.5378772,1.1149473,-0.31044802,0.38608637,2.7286725,-0.08247566,-0.14043956
-1.2218637,-1.8371851,1.0385188,0.13577648,1.3476148,0.4467758,-1.0258286,0.34960973
-0.9709636,1.3631642,0.9576692,0.6329661,-0.18186784,-0.17184114,-1.6367227,1.1092354
-0.70909244,-0.86512464,0.20874955,0.39150754,-0.44409582,2.115897,-2.2197053,-0.4665978
0.4988949,0.3654857,-0.13639587,1.7865363,0.31975144,2.9341884,-0.9459594,-0.69074386
-1.4290297,0.72551155,0.43783858,1.1654631,0.12538779,1.5305244,1.0262454,1.6376593
0.080220625,0.7941384,0.78400826,1.3353584,1.0478235,2.7898455,1.6285275,-1.5807134
-0.5065975,0.4243512,0.50926805,-0.36224964,-0.17198019,3.6863322,-0.39597595,-1.7395045
-1.5126667,1.4325367,1.3840954,1.4134623,0.54005045,0.4151368,0.4994185,0.6814165
-1.1563159,1.4435396,-0.23955636,0.52935773,-0.37087402,2.668387,0.26174873,-0.32850322
-1.0095457,-0.54567665,1.124082,-1.2835345,-0.039858926,0.20518267,-0.72109216,1.3501104
-1.0871015,-0.71490926,0.71062636,-0.40721098,0.17962609,0.2099911,-0.80226785,0.3340925
0.65840346,1.6111426,0.8118943,0.084941156,-0.10052878,0.45959008,1.9095758,0.15678947
-1.8415061,1.1064123,0.80551225,0.3275077,0.45656216,2.0339615,0.004950746,0.10789779
-0.33063304,-0.5988452,1.0364715,-0.11784339,0.20282464,2.091385,0.6831413,-0.19713785
0.86681646,1.0452449,0.8653454,0.18740766,-0.34693882,0.9041173,0.80092996,1.749939
-0.1844218,-0.3946412,0.60990685,0.9413187,-0.088081285,1.2827734,-1.3290007,-0.013870488
-1.7320502,0.40577278,0.49862647,1.2520267,-0.19386403,0.3589791,-0.10330812,1.8116268
-1.2585434,-0.709382,1.2253566,0.56614846,-0.08119944,0.6141485,-2.086233,0.40017852
0.06305374,1.4650036,-0.648538,-1.2901971,-1.0996414,2.6634426,0.7387064,-1.4879571
-0.34558985,0.02612763,0.9635184,0.22767428,0.076433465,1.3396108,-0.7010357,0.8721232
1.1843016,-0.47329375,0.643542,-2.0403116,-0.062506884,2.1241887,0.2547912,-1.538959
1.4571906,1.8724396,-1.6719593,1.659511,-0.075295545,0.37537014,-1.0606701,0.8424039
0.98534334,0.44166943,0.2499928,-0.38901013,-0.0054937513,-0.050782323,-1.3032403,1.1300362
-0.8714472,-1.9811461,0.90988725,-2.157656,0.35307878,0.87566656,0.261323,0.23911631
0.575692,0.9874386,-0.48467845,-0.7939982,-0.042756367,1.2036142,0.004657557,1.6779506
-1.027615,-1.1242645,1.3962816,0.81150806,-0.02491331,2.4864578,0.41388738,-0.029225849
-0.38869926,0.88712525,1.3144892,-0.827889,0.120894805,0.011982441,0.7248406,0.2634542
1.2364491,-1.5419999,-0.31304306,1.2850153,0.90765375,3.0265298,-2.2623963,-1.2716266
-1.3409756,0.5368785,-0.052159674,0.52239287,0.38014513,0.78611827,-1.7865701,1.739731
-1.5156695,-0.8704239,0.8487227,0.83479697,-0.5865065,0.31575036,-2.314125,0.38960126
-0.9569649,0.7916876,1.0171732,0.13167398,-0.71847004,1.6075025,-0.59736145,-0.3126683
-1.8356317,0.61745495,0.535382,-1.0417116,-0.27646878,1.4187608,1.7043449,0.0044510937
-1.0003792,-0.62398165,1.0318276,0.83151764,-0.053672697,0.3959298,0.92075,0.5735569
-0.83381855,-0.73837686,0.4201685,0.5560747,-0.294996,2.4748843,2.8676324,-0.39163104
0.86352926,0.20144391,0.738138,0.14589429,0.009223675,0.72133976,-0.09132697,1.3746245
1.2374574,-0.9416532,-0.12014699,0.4688607,-0.03921366,1.0297742,0.16863938,0.9444662
-0.3197748,-0.038462456,1.0318632,-0.12373106,-0.031796306,1.6276045,1.0050921,-0.23835987
0.57619727,1.3239242,1.1765335,1.2687594,0.070716165,2.0327446,0.9524237,-0.9779364
0.37156445,-0.49585786,1.0992383,-0.79139674,-0.32985604,0.5234846,0.6990627,0.3374765
0.9037937,1.07537,0.8485574,0.54643327,-0.36515555,3.0754774,0.7938787,-1.2005466
0.005841395,-0.94959974,1.0809277,-0.37916902,-0.089597784,0.1710453,-0.54830045,1.2747599
-0.35372052,-1.0083275,0.93757755,0.100486025,0.018469132,2.2590373,-1.3960472,0.030026548
0.66726065,1.497565,1.2648315,-0.3714563,0.015026071,0.5379158,-2.0784166,0.67739385
-1.335776,0.22557408,0.33334088,-0.17863901,-0.039190095,1.8484246,-0.9167406,0.49419394
-1.2780951,-0.9018815,0.9592645,0.2909439,0.65597004,3.1525192,-1.2457813,-1.5013195
1.1361479,1.4668753,0.8193483,-1.0296797,0.051896147,1.8607371,0.66634524,1.725152
1.7340305,0.7316304,-0.14028639,-1.2000731,-0.041619018,1.4366573,-0.29375845,1.5605947
-2.1869764,0.54587334,0.5269176,-1.273427,0.61995935,-0.07065117,-0.10535133,0.38936183
0.22991185,-0.72050905,1.0766314,-1.6502762,-0.068072006,2.0435462,-1.9242387,0.090546675
1.9347947,1.6746397,0.7439308,0.2850959,-0.13166063,0.81909335,-1.5401055,0.38471392
-0.48740172,-0.5815699,0.07959158,0.4387292,0.23239635,1.6612563,0.0597994,1.474536
-0.9467116,-1.701131,0.9031735,-0.882755,-1.1196065,2.0673954,-0.6559903,-0.339888
1.086494,-1.0137935,1.1302,-2.7560117,-0.15264946,2.2954588,1.5351387,-0.7889633
-1.9664072,0.34575737,0.8418497,-0.07026543,-0.28167108,1.1199847,-0.06270228,1.8427851
0.95713586,1.6273848,0.80200106,0.5688954,-0.26190987,1.0990158,0.34717467,1.6527456
-0.50463134,1.2290337,0.11156126,-1.5424521,-0.061101016,0.413455,0.85747385,0.6203334
-0.6523701,-1.0594009,1.1653603,0.5498158,-0.27462223,3.1680167,0.23340689,-0.29169878
-1.5691581,-1.850419,-0.9207655,-0.7325659,-0.25076473,-0.068333745,1.1690505,0.5271708
1.1888354,-0.6717933,0.7246917,-0.25828177,-0.026813146,0.9995818,-0.11672676,-0.19823837
-0.34533784,1.066378,1.0182705,1.3517838,0.22045225,1.3787042,0.2222459,0.006009476
-1.0015434,-0.2801852,0.83113885,2.3141994,1.386986,2.8039403,2.4914384,-1.3900833
-0.560071,-1.2900344,1.2040474,-1.4182646,0.70476574,2.579216,-0.33906248,-1.5094239
1.0010972,1.4532158,0.75608736,1.2871468,0.40941745,3.002954,-0.34719118,-1.4166198
-1.3283744,0.98796725,0.16435088,-0.49538803,0.21203066,0.87934357,0.58920634,1.6904277
-0.083041355,-0.9245898,0.015384578,-1.0391144,0.5623359,0.36621928,-1.6721385,0.8476298
0.494566,-0.36475053,0.56724894,1.830486,0.018114297,0.9374128,-0.016931362,1.996525
-1.83133,-0.33498076,0.42433408,0.17593037,0.19741347,-0.31767726,0.08624913,1.0905299
0.104895934,0.15731786,-0.4587676,1.1506491,-0.073353805,2.5244808,-0.27530348,-0.10561358
0.5661705,-0.48992434,1.0613047,-1.6327711,-0.046105523,1.7521987,-0.48875055,0.040716607
-0.46401232,-1.1497142,0.7262078,0.64445305,-0.06519869,1.7401048,0.121375,-0.78040653
-1.0800481,0.5074871,-0.18201031,-1.6937077,0.092794426,1.177993,-0.06567735,1.5409038
-0.5470264,-1.8504208,-0.46792814,1.0256948,0.13107264,0.04529476,0.4069835,0.88050294
-1.5366762,-1.1305047,1.2135966,0.76838446,-0.23904935,2.261959,-0.11204202,-0.121004395
-0.35197395,-0.85166585,0.46361342,1.1460775,0.95210946,0.323843,-1.0876338,0.44644168
1.4864339,-0.7533421,0.90180004,0.17880423,0.6099683,1.0553676,-0.7566289,1.5389253
-1.3882141,1.513524,1.3625437,-1.1322955,0.3104424,3.0752034,-0.4561688,-1.6070418
1.0272678,1.4691179,0.83628595,-1.4743478,-0.18612091,0.838271,-0.44680133,0.2757302
1.0583335,0.878796,0.60078275,0.22976463,0.034336798,3.0878243,-0.50981116,-1.2676061
1.2244011,1.0812186,-0.21579862,0.43640262,0.34235898,0.06078446,0.6700086,0.52518135
-1.2636371,-0.21718703,0.17951742,-0.06675701,-0.20702267,2.293128,-0.10348625,0.25110462
0.4706569,-1.511036,1.1403944,-0.10745482,0.35295278,0.14988112,-1.5350723,0.72822565
-1.2868493,0.6598451,1.2129283,0.16033322,-0.76144034,0.6709642,-0.15936586,0.43792975
-1.5043796,1.2601295,0.5725855,-0.41257215,0.26870462,0.6578902,0.1195705,1.8102249
0.19730964,1.0025325,0.013052484,0.43169162,0.11401573,2.1173728,0.2575217,-0.37741083
-0.20247775,1.4995666,-0.2678129,0.8127086,0.36436138,3.0079243,-0.4289818,-1.7577106
0.24612312,-1.2320527,1.156497,-0.8809344,-0.05753038,0.6159135,1.3472593,1.0129412
0.10987448,0.7500937,0.12959372,1.9518371,0.006676436,1.6947078,-0.9752641,1.4620366
0.4998334,0.7620045,0.3962189,0.34736183,-0.13278583,1.9307092,0.97448343,1.5070524
1.2533418,-0.07353667,0.94689405,-1.6136461,-0.009666418,0.69365543,-0.69269836,1.4098307
-0.5331839,-0.09354327,0.6715313,1.1026216,0.6390726,0.30769658,0.7508676,0.33992192
-1.5059617,-0.8331958,0.8904463,0.5665501,0.03838176,1.1477989,-0.7828997,-0.84343714
1.5471425,-1.104676,-0.082587905,-0.8752973,0.271386,0.30553937,-1.0298647,0.59992
-0.37182102,-0.5150408,0.36202317,-0.59987164,0.0441675,0.6788397,-0.6225557,1.5783852
-1.0486479,-1.8254611,-0.21229888,0.4087203,0.22579597,1.0802569,0.6189912,0.10861828
-0.6009631,-0.015209619,1.0250282,-1.5331651,0.49471515,1.0070896,-0.61663944,1.6420678
-1.9240931,0.08477773,0.98160267,-0.09169643,0.91233957,0.31398618,-1.2431724,0.65880066
-0.0004371742,-1.1095598,0.24738753,0.025839387,-0.016847115,1.3536576,-0.6248024,-0.089849584
-0.57798404,-0.67952687,0.7232147,0.81009835,0.06583478,2.1776147,2.1237354,-0.10023151
